lat,lon,park,streetview_available,streetview_status,date_pulled
40.696607199999995,-73.9776785,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.69650691894487,-73.97765276341302,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.6974609,-73.9782601,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.697387798657054,-73.97816597693158,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.69731458555216,-73.97807225383758,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.697231805317706,-73.9779935075458,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.69714371054774,-73.97792541953086,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.697052722693215,-73.9778641935271,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.69695936892662,-73.97780961745941,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.69686354196284,-73.97776308418558,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.69676621185604,-73.97772218429738,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.69746670000001,-73.9783457,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.697457612158736,-73.97821148691253,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.697448534861365,-73.97807727258318,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.69744284531872,-73.97794302613235,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.697450458777155,-73.97780865354738,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.69745807223471,-73.97767428096242,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.69804859105987,-73.97834658582866,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.69794643150772,-73.97834643030782,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.697844271798914,-73.97834627478699,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.69774211193344,-73.97834611926615,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.6976399519113,-73.97834596374531,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.6975377917325,-73.97834580822447,Commodore Barry Park,False,ZERO_RESULTS,2025-05-15
40.647337799999995,-74.00440650000002,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64727252740405,-74.00430278905735,Sunset Park,True,OK,2025-05-15
40.647212006903274,-74.00419515217011,Sunset Park,True,OK,2025-05-15
40.64716963418886,-74.00407252265192,Sunset Park,True,OK,2025-05-15
40.647127262612315,-74.00394989243463,Sunset Park,True,OK,2025-05-15
40.6470848920146,-74.00382726161371,Sunset Park,True,OK,2025-05-15
40.64702308139772,-74.00372120616728,Sunset Park,True,OK,2025-05-15
40.64695558198463,-74.00362000117926,Sunset Park,True,OK,2025-05-15
40.646879484335564,-74.00353160913394,Sunset Park,True,OK,2025-05-15
40.646795476111244,-74.00345482648277,Sunset Park,True,OK,2025-05-15
40.64671315735448,-74.00337503710908,Sunset Park,True,OK,2025-05-15
40.6466363433377,-74.00328611276443,Sunset Park,True,OK,2025-05-15
40.64656976476223,-74.00318463581878,Sunset Park,True,OK,2025-05-15
40.64650803982952,-74.00307722259782,Sunset Park,True,OK,2025-05-15
40.646455835840065,-74.00296136515924,Sunset Park,True,OK,2025-05-15
40.64641347884354,-74.00283944729222,Sunset Park,True,OK,2025-05-15
40.64636658669567,-74.00272234709624,Sunset Park,True,OK,2025-05-15
40.64629540109006,-74.00262641330691,Sunset Park,True,OK,2025-05-15
40.64621336282328,-74.00254600103143,Sunset Park,True,OK,2025-05-15
40.64611817096781,-74.00249851544258,Sunset Park,True,OK,2025-05-15
40.64601820783542,-74.00247136028224,Sunset Park,True,OK,2025-05-15
40.6463927,-74.0027615,Sunset Park,True,OK,2025-05-15
40.646386878426384,-74.0026269994632,Sunset Park,True,OK,2025-05-15
40.64639893550543,-74.00249348833998,Sunset Park,True,OK,2025-05-15
40.646387039419075,-74.0024138757059,Sunset Park,True,OK,2025-05-15
40.646292896405605,-74.00246612925837,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64619735232239,-74.00251395414908,Sunset Park,True,OK,2025-05-15
40.6464152,-74.0024006,Sunset Park,True,OK,2025-05-15
40.64646779251969,-74.0022853355816,Sunset Park,True,OK,2025-05-15
40.64653677247484,-74.00218613362263,Sunset Park,True,OK,2025-05-15
40.64661222422186,-74.00209526842512,Sunset Park,True,OK,2025-05-15
40.64668900420466,-74.00200629299717,Sunset Park,True,OK,2025-05-15
40.646765784099124,-74.00191731756922,Sunset Park,True,OK,2025-05-15
40.64684940043512,-74.00184034542934,Sunset Park,True,OK,2025-05-15
40.64693566117214,-74.00176801640627,Sunset Park,True,OK,2025-05-15
40.64701484971624,-74.0016827898125,Sunset Park,True,OK,2025-05-15
40.64710265829783,-74.00161424908445,Sunset Park,True,OK,2025-05-15
40.64719387387478,-74.00155347933912,Sunset Park,True,OK,2025-05-15
40.64728667537339,-74.00149704549983,Sunset Park,True,OK,2025-05-15
40.64738698130402,-74.00150891874965,Sunset Park,True,OK,2025-05-15
40.647488076117305,-74.00152900527453,Sunset Park,True,OK,2025-05-15
40.64746469999999,-74.00125899999999,Sunset Park,True,OK,2025-05-15
40.64739426141316,-74.00135666312951,Sunset Park,True,OK,2025-05-15
40.64732382275197,-74.00145432625902,Sunset Park,True,OK,2025-05-15
40.6479945,-74.00264879999999,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64791414798523,-74.00273211395718,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.647833795873716,-74.00281542791437,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.647753443665465,-74.00289874187156,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64767309136045,-74.00298205582875,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64759273895869,-74.00306536978593,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.647512386460185,-74.00314868374312,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64743203386494,-74.00323199770031,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.647351681172935,-74.0033153116575,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.6472713283842,-74.0033986256147,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.6471909754987,-74.00348193957187,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.6471154,-74.00356029999999,Sunset Park,True,OK,2025-05-15
40.6479365,-74.00377549999999,Sunset Park,True,OK,2025-05-15
40.64785665367447,-74.00385965437995,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.6477768072534,-74.00394380875989,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64769696073679,-74.00402796313983,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64761711412465,-74.00411211751977,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.647537267416986,-74.0041962718997,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.6474574206138,-74.00428042627965,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.647377573715055,-74.00436458065958,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64778189999999,-74.00492219999998,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64786156064426,-74.0048377403448,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.647941221193435,-74.0047532806896,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.648020881647525,-74.0046688210344,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.6479365,-74.00377549999999,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.648016142913676,-74.00369101160517,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.648095785732316,-74.00360652321035,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64817542845591,-74.00352203481555,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64825507108445,-74.00343754642071,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64833471361794,-74.0033530580259,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.6485613,-74.00485939999999,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.6484620425231,-74.00489088965011,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64836032184053,-74.00489048982178,Sunset Park,True,OK,2025-05-15
40.64826222723737,-74.00485430834337,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64818572563689,-74.00476908581598,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64812176454192,-74.00466396589532,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64805781604131,-74.00455883260335,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64799388572357,-74.00445368003551,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.647929955344594,-74.00434852746768,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64787808129206,-74.00423580575959,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.647864820913405,-74.0041025784284,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.647878802451096,-74.00396909995844,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64791529394315,-74.00384375431432,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64797972056647,-74.00375370395935,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64807787902083,-74.00371673857238,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64817861239155,-74.0036968,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.6482807602219,-74.00369959355116,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64838166423303,-74.00371965016213,Sunset Park,False,ZERO_RESULTS,2025-05-15
